,Unnamed: 0,Unnamed: 0.1,Surname,First name,Institution,Department,Email address,State,Started on,Completed,Time taken,Grade/350.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /10.00,Q. 4 /10.00,Q. 5 /15.00,Q. 6 /15.00,Q. 7 /15.00,Q. 8 /20.00,Q. 9 /20.00,Q. 10 /5.00,Q. 11 /5.00,Q. 12 /10.00,Q. 13 /10.00,Q. 14 /15.00,Q. 15 /15.00,Q. 16 /15.00,Q. 17 /20.00,Q. 18 /20.00,Q. 19 /5.00,Q. 20 /5.00,Q. 21 /5.00,Q. 22 /5.00,Q. 23 /5.00,Q. 24 /5.00,Q. 25 /5.00,Q. 26 /5.00,Q. 27 /5.00,Q. 28 /5.00,Q. 29 /5.00,Q. 30 /5.00,Q. 31 /2.00,Q. 32 /2.00,Q. 33 /2.00,Q. 34 /2.00,Q. 35 /2.00,Q. 36 /10.00,Q. 37 /10.00,Q. 38 /30.00,Vocab Total,Grammar Total,Reading Total,Computer Total,Writing Total,Vocab Section,Grammar Section,Reading Section,Computer Section,Writing Section
82,82,82,S83,user93,,,user238@c.com,Finished,1801202017 17:79,1801202017 17:87,27 mins 56 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,5,10,10,15,0,0,16,4,0,5,0,0,0,0,0,5,5,0,0,5,2,2,0,0,2,9,9,14,80,65,20,6,32,2,0,2,0,0
83,83,83,S84,user94,,,user239@c.com,Finished,1801202017 17:80,1801202017 17:88,10 mins 56 secs,Not yet graded,5,5,10,10,0,0,15,8,0,0,5,0,0,0,15,15,4,4,5,0,5,0,5,5,5,0,0,5,5,0,2,2,2,2,2,10,8,17,53,43,35,10,35,0,1,0,1,0
84,84,84,S85,user95,,,user240@c.com,Finished,1801202017 17:81,1801202017 17:89,11 mins 56 secs,Not yet graded,0,0,10,10,15,0,15,0,10,5,5,10,10,15,15,15,12,16,5,0,5,0,5,5,0,0,5,0,5,5,2,2,2,0,0,5,6,9,60,103,35,6,20,0,2,0,0,1
85,85,85,S86,user96,,,user241@c.com,Finished,1801202017 17:82,1801202017 17:90,12 mins 56 secs,Not yet graded,0,5,0,10,15,15,15,8,0,0,0,0,10,15,0,15,0,4,5,5,5,5,5,5,5,5,5,5,5,0,2,0,2,2,2,6,9,8,68,44,55,8,23,0,1,1,0,1
86,86,86,S87,user97,,,user242@c.com,Finished,1801202017 17:83,1801202017 17:91,13 mins 56 secs,Not yet graded,5,0,10,10,0,15,15,0,10,5,0,10,10,0,15,15,8,4,5,0,0,0,5,0,5,5,0,0,5,0,2,2,2,2,2,5,7,25,65,67,25,10,37,0,0,0,1,0
87,87,87,S88,user98,,,user243@c.com,Finished,1801202017 17:84,1801202017 17:92,14 mins 56 secs,Not yet graded,0,5,10,10,15,15,15,8,0,5,5,0,10,0,0,15,0,4,0,5,0,0,0,0,5,5,0,5,5,5,0,0,0,2,2,8,0,20,78,39,30,4,28,2,1,0,2,1
88,88,88,S89,user99,,,user244@c.com,Finished,1801202017 17:85,1801202017 17:93,15 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,0,5,0,5,10,0,15,0,15,8,16,5,0,0,0,0,0,0,0,0,5,5,0,0,2,2,2,2,6,6,15,30,69,15,8,27,1,0,2,0,1
89,89,89,S90,user100,,,user245@c.com,Finished,1801202017 17:86,1801202017 17:94,16 mins 56 secs,Not yet graded,5,0,10,10,15,0,0,0,10,5,0,10,10,15,15,15,8,8,0,5,0,5,0,5,0,5,5,0,0,0,2,2,2,0,2,9,9,14,50,86,25,8,32,0,2,0,0,0
90,90,90,S91,user101,,,user246@c.com,Finished,1801202017 17:87,1801202017 17:95,17 mins 56 secs,Not yet graded,5,5,10,0,15,0,15,8,5,5,5,0,0,0,15,15,4,12,5,5,5,0,5,5,5,0,0,5,5,0,2,2,2,2,2,10,8,17,63,56,40,10,35,0,0,0,1,0
91,91,91,S92,user102,,,user247@c.com,Finished,1801202017 17:88,1801202017 17:96,18 mins 56 secs,Not yet graded,0,0,10,10,15,0,15,0,10,5,5,0,10,15,15,15,4,8,0,5,5,5,0,0,0,5,5,0,0,5,2,2,0,0,2,5,6,9,60,77,30,6,20,0,2,0,0,1
92,92,92,S93,user103,,,user248@c.com,Finished,1801202017 17:89,1801202017 17:97,19 mins 56 secs,Not yet graded,0,5,0,10,15,15,15,8,5,5,0,10,10,15,0,0,0,4,0,0,5,5,5,5,5,5,5,0,5,5,2,0,2,2,2,6,9,8,73,44,45,8,23,2,1,1,0,1
93,93,93,S94,user104,,,user249@c.com,Finished,1801202017 17:90,1801202017 17:98,20 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,0,5,0,5,10,0,15,15,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,6,6,15,30,68,0,6,27,1,0,2,0,1
94,94,94,S95,user105,,,user250@c.com,Finished,1801202017 17:91,1801202017 17:99,21 mins 56 secs,Not yet graded,5,0,10,10,15,0,15,0,10,5,0,10,10,15,15,0,20,8,5,5,0,0,5,0,0,0,5,5,5,5,2,2,2,2,2,9,9,14,65,83,35,10,32,0,2,0,1,0
95,95,95,S96,user106,,,user251@c.com,Finished,1801202017 17:92,1801202017 17:100,12 mins 56 secs,Not yet graded,5,5,0,10,15,15,15,8,0,5,5,0,0,0,0,15,4,12,0,0,5,5,5,0,5,5,0,5,5,0,2,2,2,0,0,10,8,17,73,41,35,6,35,2,1,0,0,0
96,96,96,S97,user107,,,user252@c.com,Finished,1801202017 17:93,1801202017 17:101,13 mins 56 secs,Not yet graded,0,0,10,0,15,0,0,0,10,0,5,0,10,15,0,0,0,8,0,5,5,5,5,5,0,0,5,0,5,0,2,0,2,0,0,5,6,9,35,38,35,4,20,1,1,0,2,1
97,97,97,S98,user108,,,user253@c.com,Finished,1801202017 17:94,1801202017 17:102,14 mins 56 secs,Not yet graded,0,5,0,10,0,15,15,8,10,5,0,10,10,15,15,15,16,4,5,0,5,5,0,5,5,5,5,0,0,5,2,2,0,2,2,6,9,8,63,90,40,8,23,0,2,0,0,1
98,98,98,S99,user109,,,user254@c.com,Finished,1801202017 17:95,1801202017 17:103,18 mins 56 secs,Not yet graded,5,5,0,10,15,15,15,12,10,5,0,10,10,15,0,15,0,8,5,5,0,5,5,5,5,0,5,5,5,0,2,2,0,2,2,6,8,8,87,63,45,8,22,2,0,1,0,1
